cod_ncm,hscode,cod_pais_origem,urf_cod,via_transp_cod,sgl_uf_import,city_cod,cidade_import,combinacao_202405
29333989,2933,160,0817800,01,MG,3170107,UBERABA,0
87082919,8708,160,0717600,01,SP,3448708,SAO BERNARDO DO CAMPO,0
85176239,8517,160,0817700,04,SP,3418800,GUARULHOS,0
85413019,8541,160,0817600,04,SP,3429401,MAUA,1
87088000,8708,160,0817800,01,SP,3449805,SAO JOSE DO RIO PRETO,1
29212990,2921,160,0817700,04,SP,3450308,SAO PAULO,0
85176294,8517,160,0817800,01,RS,4314902,PORTO ALEGRE,0
85176234,8517,160,0617700,04,SP,3450308,SAO PAULO,0
85412199,8541,160,0817600,04,MG,3132404,ITAJUBA,1
29333943,2933,160,0817700,04,SP,3413009,COTIA,0
85414121,8541,160,1017801,04,RS,4310207,IJUI,0
90183999,9018,160,0817800,01,RS,4313409,NOVO HAMBURGO,0
90181980,9018,160,0817600,04,MG,3109709,CACHOEIRA DE MINAS,0
85411022,8541,160,0817700,04,SP,3425201,JARINU,0
29156019,2915,160,0817700,04,RJ,3304557,RIO DE JANEIRO,0
85414111,8541,160,0817700,04,MG,3132404,ITAJUBA,0
87082999,8708,160,0817800,01,SP,3418800,GUARULHOS,1
29336911,2933,160,0817800,01,SP,3424006,ITUPEVA,0
85176294,8517,160,0817700,04,SP,3450308,SAO PAULO,1
87083090,8708,160,0817700,04,SP,3452403,SUMARE,0
85411021,8541,160,0817700,04,SP,3403901,ARUJA,0
90189095,9018,160,1017801,04,RS,4318705,SAO LEOPOLDO,0
90189099,9018,160,0817800,01,SP,3426209,JUQUITIBA,0
29332999,2933,160,0817600,04,SP,3450308,SAO PAULO,1
29339999,2933,160,0817800,01,SP,3404503,AVARE,0
85414290,8541,160,0717700,04,RJ,3302254,ITATIAIA,0
85414300,8541,160,1017700,01,RS,4301008,ARROIO DO MEIO,1
87082200,8708,160,0817800,01,SP,3450308,SAO PAULO,1
87089200,8708,160,0817600,04,RS,4304606,CANOAS,0
84439199,8443,160,0817700,04,SP,3401608,AMERICANA,0
84439199,8443,160,0817700,04,SP,3449102,SAO JOAO DA BOA VISTA,0
90182090,9018,160,0817700,04,MG,3128709,GUAXUPE,0
87088000,8708,160,0817800,01,SP,3430607,MOGI DAS CRUZES,0
90189099,9018,160,0717600,01,MG,3136702,JUIZ DE FORA,0
85176241,8517,160,0817600,04,MG,3106200,BELO HORIZONTE,1
90184999,9018,160,0817700,04,SP,3426803,LENCOIS PAULISTA,0
85176255,8517,160,0817700,04,MG,3159605,SANTA RITA DO SAPUCAI,0
29221999,2922,160,0817600,04,SP,3419071,HORTOLANDIA,0
29411010,2941,160,0817600,04,SP,3413009,COTIA,1
29419033,2941,160,0817800,01,SP,3404602,BADY BASSITT,0
